Folder Foto Tanaman https://drive.google.com/drive/folders/1xuIrua6khL1btxkMDoHzMf02LAqRrNAs?usp=sharing,,,,,,
"Anggit: peat, loam;    Novi: clay, silt;    Rhazes: sand, chalk",,,,,,
No,Tanaman,Foto,Deskripsi,Nama Latin,Tanah,Sumber Deskripsi
1,Kaktus,TRUE,"Kaktus dapat tumbuh pada waktu yang lama tanpa air. Kaktus biasa ditemukan di daerah-daerah yang kering (gurun). Kata jamak untuk kaktus adalah kakti. Kaktus memiliki akar yang panjang untuk mencari air dan memperlebar penyerapan air dalam tanah. Air yang diserap kaktus disimpan dalam ruang di batangnya. Kaktus juga memiliki daun yang berubah bentuk menjadi duri sehingga dapat mengurangi penguapan air lewat daun. Oleh sebab itu, kaktus dapat tumbuh pada waktu yang lama tanpa air.",Cactaceae,Sand,"https://id.wikipedia.org/wiki/Kaktus
https://drecampbell.com/plants-that-grow-sandy-soil/ "
2,Lobak,TRUE,"Lobak (Raphanus raphanistrum subsp. sativus) adalah tumbuhan yang masuk ke dalam famili Brassicaceae. Bentuk umbi lobak seperti wortel, tetapi isi dan kulitnya berwarna putih. Tanaman lobak berasal dari Tiongkok, dan telah banyak diusahakan di Indonesia. Tanaman yang mudah ditanam baik di dataran rendah maupun pegunungan.

Saat ini daerah yang banyak ditanami lobak adalah dataran tinggi Pangalengan, Pacet, Cipanas, dan Bedugul. Luas areal tanaman lobak di Indonesia saat ini berkisar 15.700 hektare.",Raphanus raphanistrum,Sand,"https://id.wikipedia.org/wiki/Lobak 
https://lifestyle.kompas.com/read/2023/02/15/145012820/kenali-6-jenis-tanah-dan-tanaman-yang-cocok-sebelum-berkebun?page=all "
3,Wortel,TRUE,"Wortel (serapan dari bahasa Belanda: wortel) (Daucus carota subsp. sativus) adalah tumbuhan biennial (siklus hidup 12 - 24 bulan) yang menyimpan karbohidrat dalam jumlah besar untuk tumbuhan tersebut berbunga pada tahun kedua. Batang bunga tumbuh setinggi sekitar 1 m, dengan bunga berwarna putih, dan rasa yang manis langu. Bagian yang dapat dimakan dari wortel adalah bagian umbi atau akarnya.

Wortel adalah tumbuhan biennial dalam famili umbellifer, Apiaceae. Pada awalnya, ia menumbuhkan roset daun sambil membangun akar tunggang yang membesar. Kultivar yang tumbuh cepat matang dalam waktu tiga bulan (90 hari) setelah menabur benih, sedangkan kultivar yang lebih lambat membutuhkan waktu satu bulan lebih lama (120 hari). Akarnya mengandung alfa dan beta-karoten dalam jumlah tinggi, dan merupakan sumber vitamin K dan vitamin B6 yang baik.",Daucus carota,Sand,https://id.wikipedia.org/wiki/Wortel 
4,Oregano,TRUE,Oregano (Origanum vulgare) adalah sebuah tanaman yang biasa ditanam di Mediterania dan Asia tengah dan selatan. Tanaman ini biasanya cocok digunakan untuk membuat makanan seperti pizza dan spaghetti. Tanaman ini memiliki panjang 20–80 cm.,Origanum vulgare,Sand,https://id.wikipedia.org/wiki/Oregano
5,Thyme,TRUE,"Timi (Thymus) merupakan sebuah tanaman yang terdiri dari 350 spesies. Tanaman ini memiliki khasiat universal. Bila dibuat teh, akan membantu pencernaan dan mengatasi gejala demam. Biasanya ditanam di Eropa, Afrika Utara dan Asia. Cocok digunakan sebagai teh dan bahan makanan.",Thymus,Sand,https://id.wikipedia.org/wiki/Timi
6,Buah Naga,TRUE,"Buah naga (Inggris: Pitaya) adalah buah dari beberapa jenis kaktus dari genus Hylocereus dan Selenicereus. Buah ini berasal dari Meksiko, Amerika Tengah dan Amerika Selatan namun sekarang juga dibudidayakan di negara-negara Asia seperti Taiwan, Vietnam, Filipina, Indonesia dan Malaysia. Buah ini juga dapat ditemui di Okinawa, Israel, Australia utara dan Tiongkok selatan. Hylocereus hanya mekar pada malam hari.

Pada tahun 1870 tanaman ini dibawa orang Prancis dari Guyana ke Vietnam sebagai tanaman hias. Oleh orang Vietnam dan orang Cina buahnya dianggap membawa berkah. Oleh sebab itu, buah ini selalu diletakkan di antara dua ekor patung naga berwarna hijau di atas meja altar. Warna merah buah terlihat mencolok di antara warna naga-naga yang hijau. Kebiasaan inilah yang membuat buah tersebut di kalangan orang Vietnam yang sangat terpengaruh budaya Cina dikenal sebagai Thang Loy (Buah Naga). Istilah Thang Loy kemudian diterjemahkan di Eropa dan negara lain yang berbahasa Inggris sebagai Dragon Fruit (Buah Naga).",Hylocereus dan Selenicereus,Sand,https://id.wikipedia.org/wiki/Buah_naga
7,Jambu Biji,TRUE,"Jambu biji (Psidium guajava ) atau sering juga disebut jambu batu, jambu siki dan jambu klutuk adalah tanaman tropis yang berasal dari Brasil, disebarkan ke Indonesia melalui Thailand. Jambu batu memiliki buah yang berwarna hijau dengan daging buah berwarna hijau atau merah dan berasa asam-manis. Buah jambu batu dikenal mengandung banyak vitamin C.",Psidium guajava,Sand,https://id.wikipedia.org/wiki/Jambu_biji
8,Ceri,TRUE,"Ceri (Prunus subg. Cerasus) adalah subgenus tumbuhan dari Prunus, dengan ciri-ciri memiliki bunga corymbs kecil majemuk (tidak sendiri-sendiri, atau dalam racemes), dan memiliki buah yang halus dengan hanya alur lemah di satu sisi, atau tidak ada alur. Subgenus adalah tanaman asli daerah beriklim belahan bumi utara, dengan dua spesies di Amerika, tiga di Eropa, dan sisanya di Asia.",Prunus subg. Cerasus,Sand,"https://id.wikipedia.org/wiki/Ceri#:~:text=Karena%20kebutuhan%20akan%20iklim%20yang,lebih%20dari%20700%20m%20dpl). "
9,Anggur,TRUE,"Anggur merupakan buah yang diolah dari telur buah berupa perdu merambat yang termasuk ke dalam keluarga Vitaceae.[1] Buah ini biasanya digunakan untuk membuat jus anggur, jelly, minuman anggur, minyak biji anggur dan kismis, atau dimakan langsung.[1] Buah ini juga dikenal karena mengandung banyak senyawa polifenol dan resveratol yang berperan aktif dalam berbagai metabolisme tubuh, serta mampu mencegah terbentuknya sel kanker dan berbagai penyakit lainnya.[2] Aktivitas ini juga terkait dengan adanya senyawa metabolit sekunder di dalam buah anggur yang berperan sebagai senyawa antioksidan yang mampu menangkal radikal bebas.[3][4]",Vitis,Sand,https://id.wikipedia.org/wiki/Anggur 
10,Kurma,TRUE,"Kurma, (Arab: نخل, Nakhla; bahasa Latin: Phoenix dactylifera) adalah tanaman palma (Arecaceae) dalam genus Phoenix, buahnya dapat dimakan. Walaupun tempat asalnya tidak diketahui karena telah sejak lama dibudidayakan, kemungkinan tanaman ini berasal dari tanah sekitar Teluk Persia.[1] Buahnya dijadikan makanan pokok di daerah Timur Tengah dan Afrika Utara. Pohonnya berukuran sedang dengan tinggi sekitar 15–25 m, tumbuh secara tunggal atau membentuk rumpun pada sejumlah batang dari sebuah sistem akar tunggal. Daunnya memiliki panjang 3–5 m, dengan duri pada tangkai daun, menyirip dan mempunyai sekitar 150 pucuk daun muda; daun mudanya berukuran dengan panjang 30 cm dan lebar 2 cm. Rentangan penuh mahkotanya berkisar dari 6–10 m.",Phoenix dactylifera,Sand,https://id.wikipedia.org/wiki/Kurma_(pohon)
11,Blueberry,TRUE,"Bluberi atau beri biru adalah tanaman berbunga dalam genus Vaccinium, bagian Cyanococcus. Spesies ini tumbuh di Amerika Utara.[1] Berupa semak yang ukurannya mulai 10 cm hingga 4 m; spesies terkecil dikenal sebagai ""bluberry semak rendah"" (sama dengan ""liar""), dan spesies terbesar adalah ""bluberi semak tinggi"". Daunnya berganti atau hijau sepanjang tahun, ovate hingga lanceolate, dan mulai 1–8 cm panjangnya dan lebar 0.5-3.5 cm. Bunganya berbentuk bel, putih, merah atau merah muda pucat, kadang-kadang kehijau-hijauan.",Vaccinium corymbosum,Sand,https://id.wikipedia.org/wiki/Bluberi
12,Citrus,TRUE,"Citrus adalah genus pohon berbunga dan semak dalam keluarga rue, Rutaceae. Tumbuhan dalam genus menghasilkan buah jeruk, termasuk tanaman penting seperti jeruk, lemon, jeruk bali, pomelo, dan limau. Genus Citrus berasal dari Asia Selatan, Asia Timur, Asia Tenggara, Melanesia, dan Australia. Berbagai spesies citrus telah digunakan dan didomestikasi oleh budaya asli di daerah ini sejak zaman kuno. Dari sana budidayanya menyebar ke Mikronesia dan Polinesia oleh ekspansi Austronesia (s. 3000-1500 SM); dan ke Timur Tengah dan Mediterania (s. 1200 SM) melalui jalur perdagangan dupa, dan seterusnya ke Eropa dan Amerika.[",Citrus,Sand,https://id.wikipedia.org/wiki/Citrus 
13,Almond,TRUE,"Badam,[1] almon[2] atau amandel[3] (Prunus amygdalus) adalah bagian dari subkeluarga Prunoidae dari keluarga Rosaceae. Tumbuhan ini berada di klasifikasi yang sama dengan persik dalam subgenus Amygdalus di dalam Prunus. Buah badam merupakan buah yang dihasilkan oleh pohon Prunus dulcis (nama sinonimnya: Amygdalus communis).[4]

Jika biasanya buah Prunus dilapisi oleh daging buah yang manis seperti yang ada pada prem dan ceri, pada buah badam digantikan oleh pelapis dengan tekstur seperti bahan kulit, yang di dalam cangkang kerasnya mengandung biji yang dapat dimakan, biasanya disebut sebagai kacang. ",Prunus amygdalus,Sand,https://id.wikipedia.org/wiki/Badam
14,Lavender,TRUE,"Lavender atau lavendel (serapan dari Belanda: lavendel) adalah genus tumbuhan berbunga dalam suku Lamiaceae yang tersusun atas 25-30 spesies. Asal tumbuhan ini adalah dari wilayah selatan Laut Tengah sampai Afrika tropis dan ke timur sampai India—Dunia Lama. Genus ini termasuk tumbuhan menahun, tumbuhan dari jenis rumput-rumputan, semak pendek, dan semak kecil. Tanaman ini juga tersebar di Kepulauan Canaria, Afrika Utara dan Timur, Eropa selatan (terutama Prancis selatan), Arabia, dan India; banyak darinya ditanam dan dikembangkan secara luas di iklim sedang sebagai tanaman hias, bahan kuliner, dan ekstrak minyak esensial untuk keperluan komersial. Tumbuhan ini sering ditemukan tumbuh liar di daerah di luar daerah asalnya.",Lavandula,Sand,https://id.wikipedia.org/wiki/Lavender
15,Geranium,TRUE,"Geranium adalah salah satu dari sekelompok sekitar 300 spesies tumbuhan abadi atau semak dalam keluarga Geraniaceae. Tumbuhan ini sebagian besar asli ke Afrika Selatan. Warna bunga Geranium terdiri dari warna putih, merah muda, merah dan ungu. Sebagian besar spesies dari Geranium yang dibudidayakan adalah hibrida. Tanaman ini memiliki bunga ganda dan campuran warna serta kelopak bunga. Selain dengan cara stek batang, Geranium juga dapat diperbanyak menggunakan biji. Tanaman ini sebagian besar diperbanyak dengan cara stek batang. Kebanyakan tumbuhan Geranium mekar saat tengah musim panas, tetapi ada pula beberapa spesies yang mekar di musim semi dan musim gugur. Tanaman ini tumbuh 6 inci sampai 4 meter tergantung pada varietas. Tumbuhan ini dapat tumbuh dengan baik pada penyinaran cahaya matahari yang penuh serta tanah yang kering.",Geranium,Sand,https://id.wikipedia.org/wiki/Geranium
16,Zukini,TRUE,"Zukini (dari bahasa Italia, zucchini (jamak) atau zucchino (tunggal)) adalah sejenis labu kecil yang buahnya dipanen sebelum matang untuk dijadikan sayuran. Sayuran ini merupakan salah satu bentuk budi daya dari Cucurbita pepo. Di Prancis, Inggris, dan negara-negara Benelux sayuran ini lebih populer sebagai courgette (dibaca ""kurzet""). Warna luar buahnya bisa kuning serta hijau tua atau muda. Bentuknya biasanya mirip mentimun, meskipun ada pula yang berbentuk bulat atau seperti botol, tergantung kultivarnya.",Cucurbita pepo var. cylindrical,Sand,https://id.wikipedia.org/wiki/Zukini
17,Paprika,TRUE,"Paprika (Capsicum annuum L.) adalah tumbuhan penghasil buah yang berasa manis dan sedikit pedas dari suku terong-terongan atau Solanaceae). Buahnya yang berwarna hijau, kuning, merah, atau ungu sering digunakan sebagai campuran salad. Dalam pengertian internasional, paprika dipakai untuk menyatakan hampir semua varietas Capsicum annuum. Nama-nama tertentu, seperti pepperoni, diberikan untuk paprika dengan ciri penampilan, penggunaan, atau rasa yang khas.",C. annuum,Sand,https://id.wikipedia.org/wiki/Paprika 
18,Asparagus,TRUE,"Asparagus atau akar parsi (Asparagus officinalis) dalam pengertian umum adalah suatu jenis sayuran dari satu spesies tumbuhan genus Asparagus. Asparagus telah digunakan sejak lama sebagai bahan makanan karena rasanya yang sedap dan sifat diuretiknya. Dengan adanya sifat diuretik tersebut, asparagus berkhasiat untuk memperlancar saluran urin sehingga mampu memperbaiki kinerja ginjal. Asparagus merupakan sumber terbaik asam folat nabati, sangat rendah kalori, tidak mengandung lemak atau kolesterol, serta mengandung sangat sedikit natrium. Tumbuhan ini juga merupakan sumber rutin, suatu senyawa yang dapat memperkuat dinding kapiler.",A. officinalis,Sand,https://id.wikipedia.org/wiki/Asparagus 
19,Radish,TRUE,"Lobak (Raphanus raphanistrum subsp. sativus) adalah tumbuhan yang masuk ke dalam famili Brassicaceae. Bentuk umbi lobak seperti wortel, tetapi isi dan kulitnya berwarna putih. Tanaman lobak berasal dari Tiongkok, dan telah banyak diusahakan di Indonesia. Tanaman yang mudah ditanam baik di dataran rendah maupun pegunungan.

Saat ini daerah yang banyak ditanami lobak adalah dataran tinggi Pangalengan, Pacet, Cipanas, dan Bedugul. Luas areal tanaman lobak di Indonesia saat ini berkisar 15.700 hektare.",R. raphanistrum,Sand,https://en.wikipedia.org/wiki/Radish
20,Kelapa,TRUE,"Kelapa atau nyiur (Cocos nucifera) adalah anggota tunggal dalam genus Cocos dari suku aren-arenan atau Arecaceae.[2] Arti kata kelapa (atau coconut, dalam bahasa Inggris)[3] dapat merujuk pada keseluruhan pohon kelapa, biji, atau buah, yang secara botani adalah pohon berbuah, bukan pohon kacang-kacangan.

Istilah coconut dalam bahasa Inggris berasal dari kata Portugis dan Spanyol abad ke-16, coco yang berarti ""kepala"" atau ""tengkorak"" setelah tiga lekukan pada tempurung kelapa yang menyerupai fitur wajah. Tumbuhan ini dimanfaatkan hampir semua bagiannya oleh manusia sehingga dianggap sebagai tumbuhan serbaguna, terutama bagi masyarakat pesisir. Kelapa juga adalah sebutan untuk buah yang dihasilkan tumbuhan ini",Cocos nucifera,Sand,https://id.wikipedia.org/wiki/Kelapa
21,Palem,TRUE,"Arecaceae, Suku pinang-pinangan, atau suku palem-paleman adalah keluarga botani tanaman tahunan. Kelapa dikenal seluruh penduduk kepulauan tropika sebagai tumbuhan serba guna. Demikian pula enau dan pinang. Pemanfaatannya mencakup hampir semua bagian tumbuhan, tetapi terutama adalah buahnya. Masyarakat Indonesia, khususnya di Maluku, memanfaatkan tanaman ini sebagai makanan pokok yaitu sagu yang diambil dari batangnya jenis Metroxylon sago, hal ini merupakan keunikan tersendiri dalam hal makanan pokok masyarakat di dunia. Suku ini dulu dikenal sebagai Palmae dan mencakup semua tumbuhan yang biasa disebut palma atau palem.",Arecaceae,Sand,https://id.wikipedia.org/wiki/Arecaceae
22,Telinga Gajah,TRUE,"Alocasia pergiii , telinga gajah yang kuat , adalah spesies tumbuhan berbunga dalam keluarga Araceae , yang berasal dari dataran tinggi New Guinea . [1] [2] Kadang-kadang dipelihara sebagai tanaman hias, spesies yang belum dikembangkan dan beberapa kultivar beraneka ragam tersedia secara komersial",Alocasia pergiii,Chalk,https://en.wikipedia.org/wiki/Alocasia_wentii
23,Bayam ,TRUE,"Bayam jepang atau horenso (Spinacia oleracea) (dari Bahasa Jepang ""ホウレンソウ"") adalah sayuran yang dimakan daunnya, dari genus Spinacia. Di Indonesia dapat dijumpai di supermarket dan kadang dikenal sebagai spinach (dari bahasa Inggris), berbeda dengan bayam (Amaranthus) yang banyak dikenal di Indonesia sebagai ""spinach"". Horenso biasanya tidak cocok untuk daerah beriklim tropis seperti Indonesia karena cepat berbunga sehingga tidak menumbuhkan banyak daun.",Spinacia oleracea,Chalk,https://id.wikipedia.org/wiki/Bayam_jepang
24,Cabbage,TRUE,"Kubis atau kol (terdiri dari beberapa kelompok kultivar dari Brassica oleracea) adalah tanaman dua tahunan hijau atau ungu berdaun, ditanam sebagai tanaman tahunan sayuran untuk kepala padat berdaunnya. Erat kaitannya dengan tanaman cole lainnya, seperti brokoli, kembang kol, dan kubis brussel, itu diturunkan dari B. oleracea var. oleracea, kubis lapangan liar. Kepala kubis umumnya berkisar 05 hingga 4 kilogram (10 hingga 9 pon), dan dapat berwarna hijau, ungu dan putih. Kubis hijau berkepala keras berdaun halus adalah yang paling umum, dengan kubis merah berdaun halus dan kubis savoy berdaun crinkle dari kedua warna terlihat lebih jarang. Kubis adalah sayuran yang berlapis-lapis. Dalam kondisi hari diterangi matahari panjang seperti yang ditemukan di garis lintang utara di musim panas, kubis dapat tumbuh jauh lebih besar. Beberapa rekor dibahas pada akhir bagian sejarah.",Brassica oleracea,Chalk,https://id.wikipedia.org/wiki/Kubis
25,Jagung Manis,TRUE,"Jagung manis (Zea mays Kelompok Saccharata) adalah salah satu kelompok budidaya/kelompok kultivar. Jagung manis juga mempunyai peran secara komersial, setelah jagung biasa (juga biasa disebut jagung ladang atau field corn). Keistimewaannya adalah kandungan gula (terutama sukrosa) yang tinggi pada waktu dipanen. Pemanenan untuk produksi selalu dilakukan pada saat muda (tahap ""masak susu"", kira-kira 18-22 hari setelah penyerbukan terjadi).

Rasa manis pada waktu panen terjadi karena jagung ini mengalami mutasi pada satu atau beberapa gen yang mengatur pembentukan rantai polisakarida, sehingga bulir-bulir jagungnya gagal membentuk pati dalam jumlah yang cukup banyak. Akibat kegagalan ini, ketika mengering bulirnya akan mengeriput.",Zea mays,Chalk,https://id.wikipedia.org/wiki/Jagung_manis
26,Lilac,TRUE,"Syringa vulgaris (lailak atau lailak umum) adalah sebuah spesies tumbuhan berbunga dalam famili zaitun Oleaceae, yang berasal dari Semenanjung Balkan, di mana tumbuhan tersebut tumbuh di perbukitan berbatu.[1][2][3] Spesies tersebut banyak ditanam sebagai hiasan dan telah di bawa ke belahan Eropa lainnya (termasuk Britania Raya, Prancis, Jerman, dan Italia), serta sebagian besar Amerika Utara.

Keluarga Oleaceae ini memiliki lebih dari 20 spesies tanaman yang berbeda, termasuk zaitun, ash, dan melati. Dalam spesies mereka, ada lebih dari 1.000 ragam lailak, termasuk beberapa pohon. Pohon Lailak Peking dan Lailak Jepang dapat mencapai ketinggian lebih dari 30 kaki",S. vulgaris,Chalk,https://id.wikipedia.org/wiki/Syringa_vulgaris
27,Weigela,TRUE,"Weigela /waɪˈdʒiːlə/ is a genus of between six and 38 species of deciduous shrubs in the family Caprifoliaceae, growing to 1–5 m (3–15′) tall. All are natives of eastern Asia. The genus is named after the German scientist Christian Ehrenfried Weigel.[",Wigela,Chalk,https://en.wikipedia.org/wiki/Weigela
28,Akebia,TRUE,"Buah yang mungil bening ini berisi bijian kecil. Aromanya wangi persis cokelat. Karenanya buahnya diolah menjadi berbagai hidangan. Digoreng, diberi bumbu miso hingga dibuat tempura,. Hadirnya buah ini jadi tanda awal musim gugur.

Akebia adalah tanaman berbunga yang banyak tersebar di Asia Timur. Akebia memiliki 5 spesies berbeda seperti diantaranya akebia trifoliata dan akebia quinata. Kedua jenis akebia ini sama-sama berasal dari Jepang, China dan Korea.",Akebia,Chalk,https://yoursay.suara.com/health/2022/05/31/094702/yuk-kenali-asal-usul-dan-segudang-manfaat-buah-akebia
29,Ivy,TRUE,"Hedera, yang umum disebut ivy, adalah sebuah genus dari 12-15 spesies tumbuhan berkayu merambat atau menanjak hijau abadi dalam keluarga Araliaceae. Tumbuhan tersebut tersebar dari Eropa barat, tengah dan selatan, Makaronesia, Afrika barat laut, Asia selatan sampai Jepang dan Taiwan.",Hedera,Chalk,https://id.wikipedia.org/wiki/Hedera
30,Melati,TRUE,"Melati (Jasminum ) merupakan tanaman bunga hias berupa perdu berbatang tegak yang hidup menahun. Melati merupakan genus dari semak dan tanaman merambat dalam keluarga zaitun (Oleaceae). Terdiri dari sekitar 200 spesies tumbuhan asli daerah beriklim tropis dan hangat dari Eurasia, Australasia dan Oseania, melati secara luas dibudidayakan untuk aroma khas bunganya yang harum. Di Indonesia, salah satu jenis melati telah dipilih menjadi ""puspa bangsa"" atau bunga simbol nasional yaitu melati putih (Jasminum sambac), karena bunga ini melambangkan kesucian dan kemurnian, serta dikaitkan dengan berbagai tradisi dari banyak suku di negara ini. Bunga ini merupakan bagian yang tidak terpisahkan dari hiasan rambut pengantin perempuan dalam upacara perkawinan berbagai suku di Indonesia, terutama suku Jawa dan Sunda. Jenis lain yang juga populer adalah melati gambir (J. officinale). ",Jasminum,Chalk,https://id.wikipedia.org/wiki/Melati
31,Melati Putri,TRUE,"Lonicera japonica adalah tumbuhan merambat[1] yang bisa tumbuh hingga ketinggian 10 meter atau lebih pada pohon, dengan daun berbentuk oval berukuran panjang 3–8 centimeter dan lebar 2-3 centimeter. Batang yang masih muda berwarna sedikit merah dan berbulu. Batang tua berwarna coklat.[2] bunganya berwarna putih hingga kuning, dan beraroma manis vanilla. Buahnya[2] adalah buah beri berwarna hitam dengan diameter 3–4 milimeter dan mengandung beberapa biji.[3] Nektar bunganya bisa dikonsumsi, namun, semua bagian seain itu berpotensi beracun.",Lonicera japonica,Chalk,https://id.wikipedia.org/wiki/Lonicera_japonica
32,Pohon Jati,TRUE,"Jati merupakan salah satu jenis tanaman yang bermanfaat besar bagi manusia, kayu jati sendiri menjadi salah satu jenis kayu yang paling berkualitas dan memiliki harga yang mahal dipasaran. Tanaman jati sendiri merupakan salah satu jenis tanaman yang cocok ditanam di tanah kapur. Meskipun miskin unsure hara, tanah kapur justru sangat baik bagi pertumbuhan tanaman jati. Pohon jati yang ditanam di tanah kapur akan dapat tumbu h menjulang tinggi yang tentunya merupakan kayu jenis kualitas pertama dan merupakan produk unggulan.

 Tanaman pohon jati juga merupakan jenis tanaman yang tidak banyak membutuhkan air dan relative sedikit membutuhkan kandungan unsure hara. Sedangkan karakteristik dari tanah kapur sendiri adalah miskin unsure hara serta juga tidak mudah menyerap air dan bahkan relative sangat mudah dilalui air.",Tectona grandis,Chalk,https://ilmubudidaya.com/jenis-tanaman-yang-cocok-untuk-tanah-kapur
33,Srikaya,TRUE,"Srikaya (bahasa Latin: Annona squamosa), adalah tanaman yang tergolong ke dalam genus Annona yang berasal dari daerah tropis.

Buah srikaya berbentuk bulat dengan kulit bermata banyak (serupa sirsak). Daging buahnya berwarna putih.

Termasuk semak semi-hijau abadi atau pohon yang meranggas mencapai 8 m tingginya. Daunnya berselang, sederhana, lembing membujur, 7–12 cm panjangnya, dan berlebar 3–4 cm. Bunganya muncul dalam tandan sebanyak 3—4, tiap bunga berlebar 2–3 cm, dengan enam daun bunga/kelopak, kuning-hijau berbintik ungu di dasarnya.

Buahnya biasanya bundar atau mirip kerucut cemara, berdiameter 6–10 cm, dengan kulit berbenjol dan bersisik. Daging buahnya putih, menyerupai dan memiliki rasa seperti podeng.",Annona squamosa,Chalk,https://id.wikipedia.org/wiki/Srikaya
