Folder Foto Tanaman https://drive.google.com/drive/folders/1xuIrua6khL1btxkMDoHzMf02LAqRrNAs?usp=sharing,,,,,,
34,Lidah Buaya,TRUE,"Lidah buaya (Aloe vera) adalah spesies tumbuhan dengan daun berdaging tebal dari genus Aloe. Tumbuhan ini bersifat menahun, berasal dari Jazirah Arab, dan tanaman liarnya telah menyebar ke kawasan beriklim tropis, semi-tropis, dan kering di berbagai belahan dunia. Tanaman lidah buaya banyak dibudidayakan untuk pertanian, pengobatan, dan tanaman hias, dan dapat juga ditanam di dalam pot.

Lidah buaya banyak ditemukan dalam produk seperti minuman, olesan untuk kulit, kosmetika, atau obat luar untuk luka bakar. Walaupun banyak digunakan secara tradisional maupun komersial, uji klinis terhadap tanaman ini belum membuktikan keefektifan atau keamanan ekstrak lidah buaya untuk pengobatan maupun kecantikan.",Aloe vera,Chalk,https://id.wikipedia.org/wiki/Lidah_buaya
35,Air Mata Pengantin,TRUE,"Air mata pengantin (Antigonon) adalah tumbuhan memanjat (liana) anggota suku Polygonaceae yang berasal dari Amerika Tengah. Dengan dua atau tiga jenis anggota, tumbuhan ini adalah penghias taman yang populer. Pada masa kolonial Belanda, air mata pengantin menjadi penghias taman dan pekarangan. Tumbuhan ini dapat dengan cepat tumbuh dan menjadi gulma.",Antigonon,Chalk,https://id.wikipedia.org/wiki/Air_mata_pengantin
36,Sedum,TRUE,"Sedum adalah genus tumbuhan berbunga dalam famili Crassulaceae. Mulanya genus dideskripsikan mengandung hingga 600 spesies tumbuhan, namun kini dikurangi hingga menjadi 400–500 spesies tumbuhan. Mereka adalah sukulen daun yang ditemukan terutama di Belahan Bumi Utara, tetapi meluas ke belahan bumi selatan di Afrika dan Amerika Selatan. Anggotanya bervariasi, mulai dari herba tahunan dan merayap hingga semak. Anggotanya memiliki daun yang menyimpan air. Bunganya biasanya memiliki lima kelopak, namun ada juga yang empat atau enam tetapi jarang. Biasanya ada benang sari dua kali lebih banyak dari kelopak bunganya. Berbagai spesies yang sebelumnya diklasifikasikan sebagai anggota genus ini sekarang berada dalam genus Hylotelephium dan Rhodiola.",Sedum,Chalk,https://id.wikipedia.org/wiki/Sedum
37,Bolivian Jew,TRUE,"Tanaman tahunan membentuk tikar yang merambat. Tunas yang berbunga menanjak. Daunnya yang berdaging dan halus tumbuh lebih kecil ke arah ujung pucuk. Bilah daun berbentuk lonjong hingga lanset, panjang 1-3,5 sentimeter dan lebar 0,6-1 sentimeter. Pada daun bagian distal, helaiannya lebih sempit daripada selubung daun yang terbuka dan menyebar. Tumbuh dengan cepat, berkembang biak dengan mudah dengan tunas panjang dan menjalar yang berakar di setiap simpul, segera setelah berada di tanah.",C. repens,Chalk,https://en.wikipedia.org/wiki/Callisia_repens
38,Lidah Mertua,TRUE,"Sansevieria adalah genus tanaman berbunga yang dikenal secara historis, asli Afrika, terutama Madagaskar, dan Asia selatan, sekarang termasuk dalam genus Dracaena berdasarkan studi filogenetik molekuler. Nama umum untuk 70 atau lebih spesies yang sebelumnya ditempatkan dalam genus termasuk lidah mertua.",Sansevieria,Chalk,https://id.wikipedia.org/wiki/Sansevieria
39,Poison Rope,TRUE,"Strophanthus petersianus, umumnya dikenal sebagai tali racun hutan pasir, adalah liana atau semak daun yang panjangnya mencapai 15 meter (50 kaki), dengan diameter batang hingga 10 sentimeter (4 inci). Bunganya yang harum memiliki mahkota bunga berwarna putih, terkadang dengan garis-garis merah muda kemerahan di bagian dalam, Strophanthus petersianus telah digunakan sebagai racun panah dan oleh suku Zulu sebagai jimat untuk melawan kejahatan. Habitatnya adalah hutan pantai dan hutan berbatu. Tanaman ini berasal dari negara-negara dari Kenya ke selatan hingga Afrika Selatan.",S. petersianus,Chalk,https://en.wikipedia.org/wiki/Strophanthus_petersianus
40,Jade Vine,TRUE,"Strongylodon macrobotrys, umumnya dikenal sebagai tanaman rambat giok, tanaman rambat zamrud atau tanaman rambat giok pirus, adalah spesies tanaman liana (tanaman rambat berkayu) abadi polongan yang endemik di hutan tropis Filipina. Nama lokalnya adalah tayabak. Anggota Fabaceae (keluarga kacang-kacangan dan buncis) ini berkerabat dekat dengan kacang-kacangan seperti kacang merah dan kacang panjang. Strongylodon macrobotrys diserbuki oleh kelelawar.",S. macrobotrys,Chalk,https://en.wikipedia.org/wiki/Strongylodon_macrobotrys
41,Petrea,TRUE,"Petrea adalah genus tumbuhan hijau abadi (evergreen) yang tumbuh merambat, aslinya berasal dari Meksiko dan Amerika Tengah. Karena daunnya memiliki tekstur yang kasar sehingga petrea sering dijuluki sebagai sandpaper vine (amplas rambat).

Petrea pertama kali diperkenalkan di Amerika bagian tropis dan populer sebagai tanaman hias merambat di pagar selama bertahun-tahun. Karena pertumbuhannya merambat sehingga ia membutuhkan penopang seperti pagar rumah. Selain itu, petrea juga cocok dijadikan sebagai tanaman gantung.",Petrea,Chalk,https://en.wikipedia.org/wiki/Petrea
42,Rotan,TRUE,"Rotan adalah sekelompok palma dari puak (tribus) Calameae yang memiliki habitus memanjat, terutama Calamus, Daemonorops, dan Oncocalamus. Puak Calameae sendiri terdiri dari sekitar enam ratus anggota, dengan daerah persebaran di bagian tropis Afrika, Asia dan Australasia. Ke dalam puak ini termasuk pula marga Salacca ( misalnya salak), Metroxylon (misalnya rumbia/sagu), serta Pigafetta yang tidak memanjat, dan secara tradisional tidak digolongkan sebagai tumbuhan rotan.

Batang rotan biasanya langsing dengan diameter 2–5 cm, beruas-ruas panjang, tidak berongga, dan banyak yang dilindungi oleh duri-duri panjang, keras, dan tajam. Duri ini berfungsi sebagai alat pertahanan diri dari herbivora, sekaligus membantu pemanjatan, karena rotan tidak dilengkapi dengan sulur. Suatu batang rotan dapat mencapai panjang ratusan meter. Batang rotan mengeluarkan air jika ditebas dan dapat digunakan sebagai cara bertahan hidup di alam bebas. Badak jawa diketahui juga menjadikan rotan sebagai salah satu menunya.

Sebagian besar rotan berasal dari hutan di Indonesia, seperti Sumatra, Jawa, Borneo, Sulawesi, dan Nusa Tenggara. Indonesia memasok 70% kebutuhan rotan dunia. Sisa pasar diisi dari Malaysia, Filipina, Sri Lanka, dan Bangladesh.

Rotan cepat tumbuh dan relatif mudah dipanen serta ditransprotasi. Ini dianggap membantu menjaga kelestarian hutan, karena orang lebih suka memanen rotan daripada kayu.",Daemonorops Draco,Peat,https://id.wikipedia.org/wiki/Rotan
43,Kembang Kol,TRUE,"Kembang kol atau bunga kol merupakan tumbuhan yang termasuk dalam kelompok botrytis dari jenis Brassica oleracea (suku Brassicaceae). Selain itu, tumbuhan ini sebagai sayuran juga lazim dikenal sebagai kubis bunga yang merupakan terjemahan harfiah dari bahasa Belanda bloemkool. Kata blumkol juga dikenal secara lazim.[1]

Kubis bunga berbentuk mirip dengan brokoli. Perbedaannya, kubis bunga memiliki kepala bunga yang banyak dan teratur dengan padat. Hanya ""kepala"" kembang kol yang lazim dimakan (dalam literatur berbahasa Inggris disebut white curd). Pada dasar kepala tersebut terdapat daun-daun hijau yang tebal dan tersusun rapat. Kubis bunga juga mirip dengan kubis romanesco.

Kembang kol merupakan sumber vitamin dan mineral dan lazimnya dimakan dengan dimasak terlebih dahulu, meskipun dapat pula dimakan mentah maupun dijadikan acar.",Brassica oleracea var. botrytis,Peat,https://id.wikipedia.org/wiki/Kembang_kol
44,Kubis,TRUE,"Kubis atau kol (terdiri dari beberapa kelompok kultivar dari Brassica oleracea) adalah tanaman dua tahunan hijau atau ungu berdaun, ditanam sebagai tanaman tahunan sayuran untuk kepala padat berdaunnya. Erat kaitannya dengan tanaman cole lainnya, seperti brokoli, kembang kol, dan kubis brussel, itu diturunkan dari B. oleracea var. oleracea, kubis lapangan liar. Kepala kubis umumnya berkisar 05 hingga 4 kilogram (10 hingga 9 pon), dan dapat berwarna hijau, ungu dan putih. Kubis hijau berkepala keras berdaun halus adalah yang paling umum, dengan kubis merah berdaun halus dan kubis savoy berdaun crinkle dari kedua warna terlihat lebih jarang. Kubis adalah sayuran yang berlapis-lapis. Dalam kondisi hari diterangi matahari panjang seperti yang ditemukan di garis lintang utara di musim panas, kubis dapat tumbuh jauh lebih besar. Beberapa rekor dibahas pada akhir bagian sejarah.",Brassica oleracea var. capitata,Peat,https://id.wikipedia.org/wiki/Kubis
45,Romanesko,TRUE,"Romanesko (bahasa Italia: romanesco) atau Brokoli Romanesco atau Kembang Kol Romawi adalah sayuran bunga yang masih merupakan variasi dari kubis bunga, dari spesies Brassica oleracea. Catatan mengenainya ditemukan pertama kali di Italia pada abad ke-16. Bentuknya khas karena memiliki tonjolan-tonjolan seperti piramida.",Brassica oleracea 'Romanesco',Peat,https://id.wikipedia.org/wiki/Romanesko
46,Brokoli,TRUE,"Brokoli (Brassica oleracea L. Kelompok Italica) adalah tanaman yang sering dibudidayakan sebagai sayur. Brokoli adalah kultivar dari spesies yang sama dengan kubis dan kembang kol, yaitu Brassica oleracea. Brokoli berasal dari daerah Laut Tengah dan sudah sejak masa Yunani Kuno dibudidayakan. Sayuran ini masuk ke Indonesia belum lama (sekitar 1970-an) dan kini cukup populer sebagai bahan pangan.

Bagian brokoli yang dimakan adalah kepala bunga berwarna hijau yang tersusun rapat seperti cabang pohon dengan batang tebal. Sebagian besar kepala bunga tersebut dikelilingi dedaunan. Brokoli paling mirip dengan kembang kol, namun brokoli berwarna hijau, sedangkan kembang kol putih.

Cara menanam brokoli adalah disemai setelah tumbuh 3-4 daun sejati kemudian ditanam (dijadikan bibit terlebih dahulu). Masa panen adalah 55- 100 hari (tergantung varietas). Brokoli merupakan tanaman yang hidup pada cuaca dingin.",Brassica oleracea var. italica,Peat,https://id.wikipedia.org/wiki/Brokoli
47,Kailan,TRUE,"Kailan (芥蘭, jièlán, Brassica oleracea Kelompok alboglabra) adalah sayuran yang berdaun tebal, datar, mengkilap, berwarna hijau, dengan batang tebal dan sejumlah kecil kepala bunga berukuran kecil hampir vestigial mirip dengan bunga pada brokoli. Kailan merupakan salah satu kultivar yang termasuk dalam spesies yang sama dengan brokoli dan kembang kol, yaitu Brassica oleracea.

Kailan sering digunakan dalam masakan Tionghoa, dan terutama dalam masakan Kanton. Sayur ini lazim ditumis dengan bumbu jahe dan bawang putih, atau direbus dan dihidangkan dengan saus tiram. Daun maupun batang kailan dapat dimakan, biasanya dipotong-potong kecil sebelum dimasak.",Brassica oleracea var. Alboglabra,Peat,https://id.wikipedia.org/wiki/Kailan
48,Kacang Polong,TRUE,"Ercis, kacang ercis, atau kacang polong (Lathyrus oleraceus Lam., suku polong-polongan atau Fabaceae) merupakan tumbuhan penghasil sayuran berupa biji berwarna hijau. Ercis didatangkan oleh kolonial Belanda ke Indonesia karena sayuran ini populer di Eropa sebagai bagian dari salad atau sup. Nama ""ercis"" adalah pinjaman dari bahasa Belanda (erwtjes, ""ercis kecil"").

Biji ercis kaya karbohidrat serta protein dan cepat membuat kenyang ketika dimakan.

Tumbuhan yang berasal dari Asia Kecil ini masih sejenis dengan kapri (sering kali dicampuradukkan penamaannya). Berbeda dengan kapri, ercis hanya dimakan bijinya dan hampir tidak pernah dimakan dengan polongnya seperti kapri. Sejak ribuan tahun lalu telah dimanfaatkan sebagai bahan pangan namun sekarang penggunaannya lebih banyak sebagai sayuran atau pakan.

Dalam budidaya di Indonesia, ercis tumbuh baik di daerah pegunungan berhawa sejuk dengan ketinggian 700 meter di atas permukaan laut, pada suhu seperti di daerah asalnya.",Pisum sativum,Peat,https://id.wikipedia.org/wiki/Ercis
49,Kacang Hijau,TRUE,"Kacang hijau (Vigna radiata) adalah sejenis palawija yang dikenal luas di daerah tropika. Tumbuhan yang termasuk suku polong-polongan (Fabaceae) ini memiliki banyak manfaat dalam kehidupan sehari-hari sebagai sumber bahan pangan berprotein nabati tinggi. Kacang hijau di Indonesia menempati urutan ketiga terpenting sebagai tanaman pangan legum, setelah kedelai dan kacang tanah.

Bagian paling bernilai ekonomi adalah bijinya. Biji kacang hijau direbus hingga lunak dan dimakan sebagai bubur atau dimakan langsung. Biji matang yang digerus dan dijadikan sebagai isi onde-onde, bakpau, atau gandas turi. Kecambah kacang hijau menjadi sayuran yang umum dimakan di kawasan Asia Timur dan Asia Tenggara dan dikenal sebagai tauge. Kacang hijau bila direbus cukup lama akan pecah dan pati yang terkandung dalam bijinya akan keluar dan mengental, menjadi semacam bubur. Tepung biji kacang hijau, disebut di pasaran sebagai tepung hunkue, digunakan dalam pembuatan kue-kue dan cenderung membentuk gel. Tepung ini juga dapat diolah menjadi mi yang dikenal sebagai soun.",Vigna radiata,Peat,https://id.wikipedia.org/wiki/Kacang_hijau
50,Selada,TRUE,"Selada atau daun sla (Lactuca sativa) adalah tumbuhan sayur yang biasa ditanam di daerah beriklim sedang maupun daerah tropika. Kegunaan utama adalah sebagai salad. Selada digunakan dalam berbagai hidangan, termasuk sup, sandwich, dan bahkan bisa dipanggang Celtuce (selada asparagus) adalah salah satu jenis yang dihasilkan dari batangnya, yang dapat dimakan mentah atau dimasak. Selama ribuan tahun digunakan manusia, ia telah memperoleh nilai religius dan terapeutik di samping penggunaan utamanya sebagai sayuran. Awalnya, Eropa dan Amerika Utara mendominasi pasar selada, tetapi pada akhir abad kedua puluh, konsumsi selada telah menyebar ke seluruh dunia. Pada tahun 1969, produksi selada dan sawi putih dunia mencapai 27 juta ton, dengan China menyumbang 56% dari total.

Selada pertama kali dibudidayakan oleh orang Mesir kuno, yang mengubahnya dari tanaman yang berdaun lebar dan bijinya digunakan untuk mengekstrak minyak menjadi tanaman pangan berharga yang ditanam karena daunnya yang segar dan bijinya yang kaya minyak. Selada menyebar ke Yunani dan Romawi. Romawi menyebut sayur tersebut lactuca, yang kemudian diserap ke bahasa Inggris menjadi lettuce. Pada tahun 50 M, banyak jenis selada telah dideskripsikan, dan selada sering ditampilkan dalam tulisan abad pertengahan, termasuk beberapa obat herbal. ""Banyak varietas selada muncul di Eropa selama abad ke-16 dan ke-18. Pada pertengahan abad ke-18, terdapat kultivar yang dapat ditemukan di kebun ataupun pekarangan rumah.",Lactuca sativa,Peat,https://id.wikipedia.org/wiki/Selada_(tumbuhan)
51,Bayam,TRUE,"Bayam (Amaranthus) adalah tumbuhan yang biasa ditanam untuk dikonsumsi daunnya sebagai sayuran hijau. Tumbuhan ini berasal dari Amerika tropik namun sekarang tersebar ke seluruh dunia. Tumbuhan ini dikenal sebagai sayuran sumber zat besi yang penting bagi tubuh.

Bayam sebagai sayur hanya umum dikenal di Asia Timur dan Asia Tenggara, sehingga disebut dalam bahasa Inggris sebagai Chinese amaranth. Di Indonesia dan Malaysia, bayam sering disalahartikan menjadi ""spinach"" dalam bahasa Inggris (mungkin sebagai akibat penerjemahan yang dalam film kartun Popeye), padahal nama itu mengacu ke jenis sayuran daun lain - lihat Bayam (Spinacia).",Amaranthus,Peat,https://id.wikipedia.org/wiki/Bayam
52,Kubis Keriting (Kale),TRUE,"Kubis keriting atau kale, adalah tumbuhan kultivar yang termasuk dalam spesies Brassica oleracea yang ditanam untuk daunnya yang dapat dimakan, meskipun beberapa digunakan sebagai tanaman hias. Tumbuhan kale memiliki daun berwarna hijau atau ungu, dan daun pusatnya tidak membentuk kepala (seperti halnya kol yang dikepalai). Kales dianggap lebih dekat dengan kubis liar daripada sebagian besar bentuk Brassica oleracea yang dijinakkan.

Kubis keriting berasal dari Mediterania timur dan Asia Kecil, di mana ia dibudidayakan untuk makanan paling lambat tahun 2000 SM. Varietas kol berdaun keriting sudah ada bersama dengan varietas berdaun datar di Yunani pada abad ke-4 SM. Bentuk-bentuk ini, yang disebut oleh Romawi sebagai kale Sabellian, dianggap sebagai nenek moyang kale modern.",Brassica oleracea acephala group,Peat,https://id.wikipedia.org/wiki/Kubis_keriting
53,Wortel,TRUE,"Wortel (serapan dari bahasa Belanda: wortel) (Daucus carota subsp. sativus) adalah tumbuhan biennial (siklus hidup 12 - 24 bulan) yang menyimpan karbohidrat dalam jumlah besar untuk tumbuhan tersebut berbunga pada tahun kedua. Batang bunga tumbuh setinggi sekitar 1 m, dengan bunga berwarna putih, dan rasa yang manis langu. Bagian yang dapat dimakan dari wortel adalah bagian umbi atau akarnya.

Wortel adalah tumbuhan biennial dalam famili umbellifer, Apiaceae. Pada awalnya, ia menumbuhkan roset daun sambil membangun akar tunggang yang membesar. Kultivar yang tumbuh cepat matang dalam waktu tiga bulan (90 hari) setelah menabur benih, sedangkan kultivar yang lebih lambat membutuhkan waktu satu bulan lebih lama (120 hari). Akarnya mengandung alfa dan beta-karoten dalam jumlah tinggi, dan merupakan sumber vitamin K dan vitamin B6 yang baik.",Daucus,Peat,https://id.wikipedia.org/wiki/Wortel
54,Kentang,TRUE,"Kentang, ubi kentang, ubi belanda, atau ubi benggala adalah tanaman dari suku Solanaceae yang memiliki umbi batang yang dapat dimakan dan disebut ""kentang"". Umbi kentang sekarang telah menjadi salah satu makanan pokok penting di Eropa walaupun pada awalnya didatangkan dari Amerika Selatan.

Penjelajah Spanyol dan Portugis pertama kali membawa ke Eropa dan mengembangbiakkan tanaman ini.

Tanaman kentang asalnya dari Amerika Selatan dan telah dibudidayakan oleh penduduk di sana sejak ribuan tahun silam. Tanaman ini merupakan herba (tanaman pendek tidak berkayu) semusim dan menyukai iklim yang sejuk. Di daerah tropis cocok ditanam di dataran tinggi.",Solanum tuberosum,Peat,https://id.wikipedia.org/wiki/Kentang
55,Blueberry,TRUE,"Bluberi atau beri biru adalah tanaman berbunga dalam genus Vaccinium, bagian Cyanococcus. Spesies ini tumbuh di Amerika Utara.[1] Berupa semak yang ukurannya mulai 10 cm hingga 4 m; spesies terkecil dikenal sebagai ""bluberry semak rendah"" (sama dengan ""liar""), dan spesies terbesar adalah ""bluberi semak tinggi"". Daunnya berganti atau hijau sepanjang tahun, ovate hingga lanceolate, dan mulai 1–8 cm panjangnya dan lebar 0.5-3.5 cm. Bunganya berbentuk bel, putih, merah atau merah muda pucat, kadang-kadang kehijau-hijauan.",Vaccinium sect. Cyanococcus,Peat,https://id.wikipedia.org/wiki/Bluberi
56,Cranberry,TRUE,"Kranberi adalah buah yang dijadikan sebagai pelengkap hidangan pada hari-hari perayaan tertentu di Amerika. Buah ini termasuk ke dalam golongan buah beri dan termasuk ke dalam makanan sehat, dalam satu cangkir kranberi hanya mengandung 25 kalori.

Kranberi merupakan buah asli dari Amerika dan dipanen pada bulan September dan Oktober saja, buah ini dapat disimpan hingga dua bulan lamanya.",Vaccinium subg. Oxycoccus,Peat,https://id.wikipedia.org/wiki/Kranberi
57,Lingonberry,TRUE,"Lingonberry (Vaccinium vitis-idaea) adalah semak kecil yang selalu hijau yang berasal dari hutan boreal dan tundra Arktik di seluruh Belahan Bumi Utara, mulai dari Eropa dan Asia hingga Amerika Utara. Tanaman ini umumnya dikenal sebagai cowberry, partridgeberry, mountain cranberry, atau lingonberry. Tanaman ini menghasilkan buah merah yang dapat dimakan, rasanya asam dan sedikit manis. Lingonberry kaya akan antioksidan, sifat anti-inflamasi, dan senyawa lain yang bermanfaat bagi kesehatan.",Vaccinium vitis-idaea,Peat,https://en.wikipedia.org/wiki/Vaccinium_vitis-idaea
58,Rhododendron,TRUE,"Rhododendron (/ˌroʊdəˈdɛndrən/), yang sering disebut sebagai rhodies, adalah genus tumbuhan berkayu yang terdiri dari 1,024 spesies. Nama genus ini berasal dari bahasa Yunani Kuno, di mana ""rhódon"" berarti ""mawar"" dan ""déndron"" berarti ""pohon"". Tumbuhan ini termasuk dalam keluarga Ericaceae dan dapat ditemukan di berbagai wilayah, terutama di Asia dan Dataran Tinggi Selatan Pegunungan Appalachian di Amerika Utara. Rhododendron menjadi bunga nasional Nepal. Sebagian besar spesiesnya menghasilkan bunga yang mekar mulai dari akhir musim dingin hingga awal musim panas.",Rhododendron,Peat,https://id.wikipedia.org/wiki/Rhododendron
59,Pakis Rusa,TRUE,"Pakis rusa (Struthiopteris spicant, sinonim: Blechnum spicant) adalah sejenis pakis yang termasuk dalam keluarga Blechnaceae, dikenal dengan nama umum pakis rusa atau hard-fern. Tanaman ini bersifat tahan terhadap suhu rendah hingga mencapai -20 °C (-4 °F) dan bersifat hijau sepanjang tahun. Pakis rusa dapat tumbuh hingga ketinggian sekitar 0,5 meter (1 kaki 8 inci).

Tanaman ini memiliki daun dengan dua jenis, yaitu daun steril dan daun subur. Daun steril memiliki daun-daun yang datar dengan tepi yang berombak-ombak berukuran 5 hingga 8 milimeter, sementara daun subur memiliki daun-daun yang jauh lebih sempit, masing-masing dengan dua baris sori tebal pada bagian bawahnya.

Pakis rusa adalah tanaman asli di Eropa, Asia Barat, Afrika Utara, dan bagian Barat Amerika Utara. Nama ilmiahnya, Struthiopteris spicant, memiliki arti yang tidak pasti, mungkin merujuk pada kebiasaan tanaman ini yang tumbuh bergerombol atau berbentuk seperti duri.

Tanaman ini pertama kali dijelaskan oleh Carl Linnaeus pada tahun 1753 dengan nama Osmunda spicant dan kemudian ditempatkan dalam berbagai genera, termasuk Blechnum. Menurut klasifikasi Pteridophyte Phylogeny Group tahun 2016 (PPG I), tanaman ini ditempatkan dalam genus Struthiopteris, dalam subfamili Blechnoideae. Pakis rusa juga telah meraih Penghargaan Taman yang Diberikan oleh Royal Horticultural Society.",Struthiopteris spicant,Peat,https://en.wikipedia.org/wiki/Struthiopteris_spicant
60,Paku Tanduk Rusa,TRUE,"Paku tanduk rusa adalah sekelompok tumbuhan paku epifit yang semuanya tergabung dalam genus Platycerium. Tumbuhan ini memiliki penampilan yang khas karena memiliki dua tipe ental dengan fungsi dan bentuk yang jelas berbeda, dengan salah satu tipe entalnya bercabang-cabang berbentuk seperti tanduk rusa. Tumbuhan paku yang juga dikenal sebagai simbar menjangan ini dapat tumbuh liar di berbagai penjuru daerah tropika dan subtropika Asia, Afrika, dan Australia, dengan satu jenis ditemukan di pegunungan Amerika Selatan.",Platycerium spp.,Peat,https://id.wikipedia.org/wiki/Paku_tanduk_rusa
